,precision,recall,f1-score,support
0,1.0,0.4099290780141844,0.5814889336016096,705.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
accuracy,0.4099290780141844,0.4099290780141844,0.4099290780141844,0.4099290780141844
macro avg,0.3333333333333333,0.13664302600472814,0.19382964453386986,705.0
weighted avg,1.0,0.4099290780141844,0.5814889336016096,705.0
