,precision,recall,f1-score,support
0,0.7055460263007433,0.7915330339961514,0.7460701330108828,4677.0
1,0.6709316273490604,0.7065263157894737,0.6882690730106645,2375.0
2,0.7471856515932074,0.6595923867273034,0.7006620146716764,5937.0
accuracy,0.7156825005774117,0.7156825005774117,0.7156825005774117,0.7156825005774117
macro avg,0.707887768414337,0.7192172455043094,0.7116670735644078,12989.0
weighted avg,0.7182494875257115,0.7156825005774117,0.714746280822078,12989.0
