,precision,recall,f1-score,support
0,1.0,0.6212765957446809,0.7664041994750657,705.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
accuracy,0.6212765957446809,0.6212765957446809,0.6212765957446809,0.6212765957446809
macro avg,0.3333333333333333,0.20709219858156028,0.2554680664916886,705.0
weighted avg,1.0,0.6212765957446809,0.7664041994750657,705.0
