,precision,recall,f1-score,support
0,1.0,0.6737588652482269,0.8050847457627118,705.0
1,0.0,0.0,0.0,0.0
accuracy,0.6737588652482269,0.6737588652482269,0.6737588652482269,0.6737588652482269
macro avg,0.5,0.33687943262411346,0.4025423728813559,705.0
weighted avg,1.0,0.6737588652482269,0.8050847457627118,705.0
