,precision,recall,f1-score,support
0,0.7371571072319202,0.7442094662638469,0.7406664996241543,3972.0
1,0.6968838526912181,0.7250526315789474,0.7106892282294677,2375.0
2,0.7296226089953473,0.7131547919824828,0.7212947189097104,5937.0
accuracy,0.7254965809182676,0.7254965809182676,0.7254965809182676,0.7254965809182676
macro avg,0.7212211896394951,0.7274722966084258,0.7242168155877775,12284.0
weighted avg,0.7257291281074736,0.7254965809182676,0.7255080592412144,12284.0
