,precision,recall,f1-score,support
0,1.0,0.577304964539007,0.7320143884892085,705.0
1,0.0,0.0,0.0,0.0
accuracy,0.577304964539007,0.577304964539007,0.577304964539007,0.577304964539007
macro avg,0.5,0.2886524822695035,0.36600719424460426,705.0
weighted avg,1.0,0.577304964539007,0.7320143884892085,705.0
