,precision,recall,f1-score,support
0,0.56038497361068,0.9088620342396777,0.6932974841559439,3972.0
1,0.6833046471600689,0.6686315789473685,0.675888486912109,2375.0
2,0.7950540079590677,0.4711133569142665,0.5916446324695929,5937.0
accuracy,0.6508466297622925,0.6508466297622925,0.6508466297622925,0.6508466297622925
macro avg,0.6795812095766055,0.6828689900337709,0.6536102011792152,12284.0
weighted avg,0.6975686500683629,0.6508466297622925,0.6408016074939467,12284.0
