,precision,recall,f1-score,support
0,0.6761633428300095,0.761171691255078,0.716153691410179,4677.0
1,0.6242132543502407,0.7098947368421052,0.6643026004728132,2375.0
2,0.7234720286681267,0.6120936499915782,0.6631386861313869,5937.0
accuracy,0.6836554007236892,0.6836554007236892,0.6836554007236892,0.6836554007236892
macro avg,0.6746162086161256,0.6943866926962539,0.681198326004793,12989.0
weighted avg,0.688288233713176,0.6836554007236892,0.6824408245754395,12989.0
