,precision,recall,f1-score,support
0,1.0,0.23687943262411348,0.38302752293577985,705.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
accuracy,0.23687943262411348,0.23687943262411348,0.23687943262411348,0.23687943262411348
macro avg,0.3333333333333333,0.0789598108747045,0.12767584097859327,705.0
weighted avg,1.0,0.23687943262411348,0.38302752293577985,705.0
