,precision,recall,f1-score,support
0,0.9376693766937669,0.9582074521651561,0.9478271697173453,3972.0
1,0.9274475524475524,0.8934736842105263,0.9101436843233969,2375.0
accuracy,0.933984559634473,0.933984559634473,0.933984559634473,0.933984559634473
macro avg,0.9325584645706597,0.9258405681878412,0.928985427020371,6347.0
weighted avg,0.9338444463983897,0.933984559634473,0.9337262909067847,6347.0
