,precision,recall,f1-score,support
0,0.9440437158469945,0.9234552063288433,0.9336359706009512,4677.0
1,0.855470327008478,0.8922105263157895,0.8734542456718878,2375.0
accuracy,0.9129325014180374,0.9129325014180374,0.9129325014180374,0.9129325014180374
macro avg,0.8997570214277363,0.9078328663223163,0.9035451081364194,7052.0
weighted avg,0.914213625306513,0.9129325014180374,0.9133677351065489,7052.0
